title,description,real_salary
Специалист отдела формирования отчетности по исполнению инвестиционной программы,"Высшее финансово-экономическое образование: Опыт работы сметчиком, экономистом-аналитиком, инженером-энергетиком, специалистом по инвестиционной деятельности от 5 лет.  Осуществление входного контроля информации о стоимости инвестиционных проектов на соответствие документам, обосновывающим стоимость инвестиционных проектов. Осуществление формирования комплекта документов, обосновывающих...",60900.0
Web-программист / Веб разработчик / Разработчик Bitrix,"Опыт работы от 1 года в качестве WEB - разработчика. Знание языка программирования PHP. Знание HTML/XHTML, CSS, JavaScript.  Разработка проектов на 1С-Битрикс. Внедрение новой функциональности на существующих проектах. Написание новых и доработка существующих компонентов.",85000.0
Web-программист Laravel,"Знание Laravel. Опыт программирования от 6 лет. Желательны навыки работы с различными базами данных, vuetify, admin lte, базовые навыки администрирования... Обсуждение поставленных задач. Планирование. Написание программного кода на фреймворке Symfony и Laravel. Написание приложений spa, использование vue.js . Тестирование и отдача...",160000.0
Программист C# Junior,"Знания С#, .NET, ASP.NET Core, Xamarin, SQL Server 2008-2016, XML, XSD. Опыт разработки на C#, опыт разработки хранимых процедур... Разработка программного обеспечения для ОС MS Windows, Android. Разработка серверных приложений на технологии ASP.NET. Развитие существующего программного обеспечения. ",75000.0
Менеджер по продажам инженерного программного обеспечения для машиностроения (CAD/PLM),"C техническим образованием по направлению машиностроение, понимающего процессы и технологии конструирования и инженерной подготовки производства. Приветствуется наличие опыта продаж и... Сопровождение клиентов компании и поиск новых клиентов. Переговоры с представителями предприятий. Взаимодействие со специалистами, решающими инженерные задачи. Консультирование по продуктам...",95700.0
Математик / Программист,"...3D графика, картография, 3D реконструкция). Желательно - опыт использования технологий CUDA/OpenCL. Образование: высшее техническое / математика / физика / прикладная математика. Изучение и разработка алгоритмов из области 3D реконструкции и картографии. Реализация и оптимизация алгоритмов на языке С++. ",150000.0
Программист 1С,Практический опыт разработки на 1С 8.х от 1 года. Высшее техническое образование. Понимание механизмов и архитектуры платформы.  Участие в проектах по разработке новых модулей и адаптация/модернизация стандартных конфигураций на платформе 1С под нужды заказчика. ,87000.0
Junior программист,"Приветствуются знания в области криптографии, математики, информационной безопасности; владение другими языками программирования. Приветствуется опыт работы программистом. Рассматриваются кандидаты без опыта... Разработка и поддержка встроенного ПО для микроконтроллеров. Участие в сертификации средств криптографической защиты информации. Изучение стандартов и технических спецификаций в...",104400.0
Программист,"Опыт работы от 1 года в ИТ технологиях. Реляционные СУБД - SqlServer, опыт разработки sql –процедур, скриптов, C#, WPF.  Разработка бизнес приложений, расширяющих функциональность ERP. Взаимодействие с другими структурными подразделениями компании.",95000.0
Программист 1С,Умение разбираться в чужом коде. Практический опыт разработки на 1С 8 от 3 лет и выше. Знание и опыт... Программирование и доработка конфигурации Управление торговлей 11.4. Доработка функционала конфигурации Управление Торговлей. Обновление не типовых конфигураций. Настройка обменов. ,30450.0
Программист-разработчик,Отличное знание C/С++. - Опыт в коммерческой разработке ПО под ОС семейства Linux. - Опыт разработки GUI с использованием Qt и... ,180000.0
Наладчик станков и манипуляторов с программным управлением,"среднее-специальное образование (техническое). - опыт работы в данной должности. - опыт работы в подшипниковой отрасли. Выполнение необходимых расчетов, связанных с наладкой станков. Установка приспособлений и инструмента. Подналадка и регулирование обслуживаемых станков в процессе работы. ",130500.0
Ведущий Программист 1С / руководитель проекта внедрения 1С ERP,"Привычка документирования кодовой базы. Опыт внедрения 1С от снятия потребностей сотрудников до сдачи работы. Хорошие знания и навыки программирования... изучение, реализация и поддержка интеграции 1С.ERP с другими программными продуктами в компании. - Организация переноса баз данных в новую программу. - ",150000.0
Программист,Высшее или среднее профессиональное образование. Обслуживание ПК и офисного оборудования. Обеспечение информационной безопасности. Сопровождение сайта организации. Сопровождение 1С.,16000.0
Веб-программист 1С-Bitrix,Опыт разработки на 1С-Битрикс > 2-х лет. Опыт в создании и поддержке сайтов на 1С-Битрикс ред.  Важно! Точно оценивать работы в часах по списку задач и исполнять фактически. Важно! Полностью управлять Git’ом по всем проектам...,125000.0
Специалист (Программист) 1С,"Необходимо знать встроенный язык 1С и язык запросов. Разработка преимущественно осуществляется на платформе 8.3 для работы в режиме... Доработка конфигураций 1С по заданиям. Консультация пользователей. Разработка правил конвертации, дополнительных отчетов и обработок.",135000.0
Инженер-программист,"Автоматизация технологических процессов SCADA CODESYS Автоматизация производства АСУ АСУ ТП ПЛК Программирование ПЛК Чтение электросхем Modbus Продвинутый пользователь ПК  Разработка проектов, схем, подбор оборудования, настройка для новых участков АСУ и в ходе модернизации; Контроль работы, устранение сбоев в существующей АСУТП; Программирование ПЛК и СКАДА; Настройка оборудования при замене и монтаже; Желание учиться и профессионально рости; Начальные знания в области промышленной автоматики (ПЛК, ПЧ, СКАДА, УПП, Modbus и т.п.); Начальные навыки программирования; Базовые знания электротехники и электроники, умение читать и составлять электросхемы; Базовые навыки по настройке приборов автоматики; Базовые знания приводной техники; Базовые знания в области ИТ, сетей, компьютерной техники; Владение ПК, офисными пакетами, желательно графическими редакторами; Рабочий день по производственному календарю с 8:30-17:30 или 9:00 - 18:00 на выбор. Трудоустройство согласно ТК РФ с испытательным сроком Полностью белая заработная плата, без задержек, соц. пакет согласно ТК РФ Оплата труда оклад+премия 2 раза в месяц Программа обучения на предприятии программированию, монтажу, настройке и наладке. Работа в реальных проектах автоматизации, освоение приборов автоматики Овен, Siemens, Danfoss, ABB и др. В перспективе - обучение от предприятия, участие в конференциях. ",80000.0
Инженер-технолог-программист станков с ЧПУ,Высшее техническое образование. Опыт работы в должности инженера-технолога не менее 1 года. Умение работать с конструкторской документацией.  Технологическое сопровождение процессов производства деталей и сборочных единиц (ДСЕ). Программирование станков с ЧПУ в САМ системах. Оформление карт разрешений на...,92500.0
Программист 1С (senior),Опыт программирования на платформе 1С: 8 от 5 лет. Разработка в среде 1С: 8.Х. Разработка правил обменов... Решение поступающих заявок от руководства. Ведение и поддержание в актуальном состоянии документации. Бизнес-тестирование функционала. Сode review. Участие во встречах...,160000.0
Инженер-программист,"Опыт работы с MS SQL. Опыт работы в ERP-системах. Знание Python. Обучаемость/готовность к повышению квалификации (саморазвитие). Дисциплинированность. Работа MSSQL: оптимизация структур таблиц, оптимизация запросов, написание и редактирование процедур, функций, триггеров. Участие в проектах внедрения ERP-Системы. ",100050.0
Программист веб-разработчик PHP,"Приветствуется опыт работы с MVC фреймворками, программами Photoshop, CorelDraw, Figma. Требования к веб-разработчику: Опыт работы от 2 лет и... Разработка и доработка сайтов. Реализация новых, интересных сервисов и функций. Веб-программирование.",40000.0
Администратор базы данных/программист,"Наличие высшего образования без предъявления требований к стажу по специальности/наличие среднего профессионального образования с предъявлением к опыту работы по... Бесперебойное функционирование и техническая готовность ПЭВМ, печатающих устройств, средств передачи данных. - Функционирование программного обеспечения в актуальном состоянии. - Правильная эксплуатация вверенных...",24360.0
"Ведущий программист (разработчик программных средств, моделей)","Опыт интеграции программных модулей, разработанных с использованием Matlab, Python, в приложение С++ и наоборот. Ученая степень (технические, фундаментальные науки).  Разработка программных моделей РЛС и их устройств с использованием Mathlab для реализации в программе алгоритмов обработки радиолокационных сигналов и алгоритмов...",73080.0
Инженер-программист С/С++ (программист микроконтроллеров/Инженер-схемотехник),"   Условия оговариваются на собеседовании. оформление по ТК. Зарплата полностью официальная. Премирование за досрочное выполнение заданий. Наша компания аккредитована в Министерстве цифрового развития, связи и массовых коммуникаций Российской Федерации конкретный уровень зарплаты устанавливается после собеседования. время работы 10-18. Возможен индивидуальный график работы Java C/C++ C++ Микроконтроллеры С# C",275000.0
программист 1с/стажер,  ,35000.0
Веб-программист (СОТРУДНИК В ОФИС),"Уверенный пользователь технологий PHP, MySQL, Html, CSS, REST-API, JS, jQuery. С опыт конфигурирования веб-серверов. Знание принципов ООП и... Поддерживать техническое состояние сайтов, исправлять ошибки. Сопровождать и дорабатывать crm-системы. Оптимизировать работу сайтов. Верстка по макетам figma. ",150000.0
Программист С#,"Высшее профильное образование. Опыт работы в сфере разработки от 3-х лет. Доп.образование: желательно профильное по программированию. Коммуникабельность, желать работать... Разработка на C# (.NET). Участие в проектах внутренней автоматизации, адаптация КИС к новым требованиям. Интеграция различных систем. Оценка трудоемкости задач.",105000.0
Инженер-программист АСУП,"Техническое образование в области автоматизированных систем управления производством. Приветствуется знание базы оборудования КИПиА: контроллеров, преобразователей и датчиков, знание языков программирования... Разрабатывать новые и модифицировать существующие управляющие программы для АСУП (ПЛК, SCADA, HMI). Участвовать во внедрении систем автоматизации на объектах Заказчиков. ",90000.0
SQL-программист,"Хорошие знания стандартного синтаксиса SQL, а также любого диалекта из популярных. Умение проектировать БД для высокой нагрузки по записям и... Написание оптимальных запросов на поиск данных. Написание аналитических запросов. Оптимизация запросов разными способами. Проектирование баз данных, направленных на максимальную производительность...",40000.0
Техник-программист (станки с ЧПУ),"Среднее профессиональное образование (машиностроение, ИТ). Программные продукты: Компас, Вертикаль, Лоцман, Microsoft Office. Сопровождение ИТ систем. Участие в проектировании систем обработки данных. Разработка программ решения простых задач, отладка и тестирование отдельных этапов. ",34800.0
Ветеринарный-санитарный врач/специалист по программе Меркурий,"Знание программы Меркурий ( аттестованный желательно). Высшее ветеринарное образование. Приветствуется опыт работы. Трудолюбие, пунктуальность, желание работать. Ветеринарный врач. Заполнение документации. Ведение электронного документооборота.",55000.0
Инженер-конструктор (программист),"Знание языков программирования Си, С++. Знание основ схемотехники и электропривода. Высшее профильное образование. Разработка программного обеспечения для электронных устройств на микроконтроллерах. Разработка ПО для ПК (ПО для организации процесса испытания устройств). ",42273.3
Программист PHP (Битрикс),"Отличное знание 1С-Битрикс. - Обязательный опыт работы с e-commerce проектами. - Опыт интеграции 1С-Битрикс с 1С... Оценкой и решением разноплановых задач по развитию проектов. - Доработкой/кастомизацией выгрузки товаров, заказов, контрагентов. - Интеграциями с доставками, платежными системами и...",120000.0
Программист-стажер,Понимание принципов построения реляционных БД. Знание SQL. Понимание принципов ООП. Практические навыки программирования на одном из языков программирования.  Разработка программного обеспечения: Создание баз данных. Запросы к базам данных. Пользовательский интерфейс. Программные интерфейсы для связи с другими системами. ,20000.0
Инженер-программист на производство,Знание и практический опыт работы с ПЛК от 3 лет. Знание основ построения АСУ ТП. Знание и опыт работы с... Разработка ПО для технологического оборудования. Разработка эксплуатационной документации на ПО. Участие в запуске и отладке оборудования. Обслуживание разработанных систем автоматики.,90000.0
Программист,"Высшее профессиональное (техническое или инженерно-экономическое) образование. Стаж работы в должности программиста не менее 3 лет. Ответственность. Способность работать в... На основе анализа математических моделей и алгоритмов задач разрабатывать решения, обеспечивающие возможность реализации поставленной задачи средствами вычислительной техники, проводить их...",34800.0
Старший программист 1С,"   Разработка нового функционала и поддержка уже созданного в 1С системах; Доработка конфигураций 1С по обращениям пользователей; Настройка ролей и предоставление доступов к базам 1С; Консультирование пользователей; Интеграция как с 1С системами, так и со сторонними системами. Релевантный опыт работы от 1-го года; Навыки обновления типовых и не типовых конфигураций; Будет являться преимуществом знание основ производственного, бухгалтерского и налогового учета, начисления зарплаты. Перспектива профессионального и карьерного роста; Возможность обучаться в собственном Корпоративном университете (внутренние и внешние тренинги); Доступ в режиме 24/7 к корпоративной электронной библиотеке (это отличная возможность развиваться и наслаждаться лучшей бизнес литературой как в печатном, так и в аудио формате); Интересные современные корпоративные мероприятия; Повышенная корпоративная скидка при покупке товаров в магазинах сети &quot;Слата&quot;. Корпоративная мобильная связь. 1С: Предприятие 8 1С программирование Управление временем Грамотная устная и письменная речь Продвинутый пользователь ПК Основы программирования Отличное знание ПК 1С: Зарплата и управление персоналом Обновление конфигурации 1С 1C: Предприятие Создание конфигурации 1С Работа в условиях многозадачности",70000.0
Инженер-программист,"Высшее техническое образование. Знания Windows 7, 10, 11 на уровне администратора, умение работать с журналом событий. Базовые знания по администрированию... Прием и обработка телеметрической информации с помощью Специального программного обеспечения. Работа с базами данных. Техническая поддержка аппаратно-программных средств Стенда...",73950.0
Актриса/актер шоу программы,"Рассматриваем также без опыта (клуб предоставляет хореографа). С чувством стиля, чувством такта и артистическим данными. Участие в шоу программе иммерсивного театра. Исполнение сольных номеров.",300000.0
Программист С++,"Хорошая математическая подготовка (аналитическая геометрия, линейная алгебра, вычислительная геометрия, теория графов). Знание основ геодезии и картографии, как плюс.  Разработка модулей на C++ для обработки больших пространственных данных геоинформационных систем и 3D моделирования (GIS/CAD/BIM). ",165300.0
Программист микроконтроллеров,"опыт в разработке программного обеспечения промышленных изделий с микроконтроллерами (в сфере IoT). - знание языков программирования С/C++. - опыт работы с... Типовые задачи: Работа с Ethernet, Wi-Fi, MQTT (IoT), Modbus. Основная задача, на время реализации проекта: Работающий микроконтроллер , который работает...",78300.0
Инженер-программист (робототехника),"Высшее техническое образование (машиностроение, радиоэлектроника, программирование, автоматизация систем управления). Знание основ программирования и любого языка программирования (Python, C++, Java, С#... Создание и редактирование программ управления промышленного робота. Разработка и оформление программной документации. Отработка программ и режимов на изделиях. ",50000.0
Программист PHP/Web программист,"Знание HTML‚ PHP, CSS, JS, AJAX, XML, JSON. Опыт разработки на PHP, MySQL или альтернативные варианты. Написание функционала на php и вывод в api. Работа с базами данных, написание запросов (необязательно).",62500.0
Программист 1С,"Хорошее знание стандартного функционала платформы 1С 8.3, ERP, КА, ЗУП и УТ. Опыт разработки на платформе ""1С... Проведение работ по переводу конфигураций на новые редакции ERP, УТ и ЗУП. Доработки в различных конфигурациях 1С, написание отчетов...",95700.0
Инженер-программист,"Высшее образование - бакалавриат по направлению подготовки информатика и вычислительная техника, компьютерные и информационные науки. Знание C++14 и выше.  Разработка функционального программного обеспечения (ФПО) для решения навигационных задач. Разработка ПО для работы с интерфейсами Ethernet, стандартными последовательными интерфейсами. ",104400.0
Программист уровня Junior / Middle в web,"Нас интересуют как начинающие программисты, так и люди с опытом. Размер зарплаты зависит от опыта и навыков. Навыки написания кода... Готовы работать с перспективными новичками, обучать. Мы разрабатываем сайты разного уровня сложности, интернет-магазины и другие более сложные системы.",45000.0
Программист,"На должность программиста назначается лицо, имеющее высшее техническое образование и опыт работы в должности программиста не менее двух лет. 1. Самостоятельно разрабатывает новые компьютерные программы, принимая в расчет технические возможности имеющихся компьютеров и предполагаемое назначение программ. Тестирует и отлаживает...",30000.0
"Инструктор Групповых программ (танцевальные направления, Zumba)",ИЩЕМ АКТИВНЫХ СПОРТИВНЫХ И ВЛЮБЛЕННЫХ В СВОЮ РАБОТУ ИНСТРУКТОРОВ. Высшее образование или профильное обязательно. Наличие сертификатов и свидетельств о повышении... Участие в мастер классах и мероприятиях клуба . Выход на замены. Взаимодействие с фитнес консультантами и фитнес врачами. Выполнение личного плана.,65250.0
Мастер участка станков с программным управлением,Высшее профессиональное (техническое) образование - опыт работы от 1 года. Среднее профессиональное (техническое) образование - опыт работы от 3 лет.  Обеспечение выполнения участком производственного задания. Контроль соблюдения технологических процессов. Проверка качества и количества выпускаемой продукции согдасно технологического процесса. ,55000.0
PHP-программист Junior,"Опыт в web-разработке 0,6 месяцев. Умение читать и анализировать чужой код. Готовность к обучению. PHP, MySQL, JS/Ajax... Разработка нового и поддержка существующего функционала. Интеграция с API внутренних/внешних сервисов. Анализ текущих решений, рефакторинг, внедрение лучших практик. ",70000.0
Преподаватель курса Python в международную детскую школу программирования «Алгоритмика»,"Владение языком программирования Python. Опыт работы с детьми. Знание детской психологии и методов работы с детьми. Умение преподавать: понятно объяснять... Проводить дополнительные уроки для пропустивших учеников. Отслеживать качество учебного процесса, поддерживать успеваемость учеников на высоком уровне. Сопровождать учеников на протяжении...",24000.0
Инженер-программист,"Требования: Высшее техническое образование. Опыт работы с интерфейсами связи Ethernet, RS-232, RS 422, RS 485, с протоколом SNMP.  Обязанности: Участие в разработке технических заданий на программное обеспечение. Разработка программного обеспечения управления телекоммуникационным и радиоизмерительным оборудованием. Разработка руководств пользователя...",87000.0
Тестировщик программного обеспечения,"Опыт ручного тестирования мобильных или веб приложений. Опыт тестирования пользовательских интерфейсов, логики системы, интеграции. Опыт ведения задач в системе: Redmine.  ООО ""ГИТ"" включено в реестр аккредитованных ИТ-компаний и осуществляет сопровождение информационных систем, критически важных для государства.",21750.0
Начинающий программист 1С/стажер,"Техническое или IT образование (или также студент последнего курса, готовый к работе на полный день). Базовые знания и опыт в... Устанавливать и администрировать 1С. Различать типовые и нетиповые конфигурации для оценки возможности и времени обновления. Регистрировать выполненные задачи в...",15000.0
Инженер - энергетик в сферу разработки программного обеспечения энергетических компаний,Электроэнергетическое образование. Умение читать электрические схемы станций/подстанций. Возможность ездить в командировки в пределах РФ (длительность до 2 недель с... Сбор исходных данных (фотографирование оборудования) на энергообъекте. Занесение данных в специализированном ПО (отрисовка схем и построение логических связей). ,60000.0
Программист 1С,"Знание языка программирования на платформе ""1С"" версия 8. Знание типовых конфигураций. Необходимо умение работать СКД, КД 3, управляемые формы. Настройка программ ""1С"" экономического назначения.",190000.0
ведущий программист 1с,"   Администрирование баз 1С, Мониторинг работы баз 1С; Устранение технических сбоев в работе 1С; Оптимизация уже работающих процессов и внедрение доработок; Организация процесса разграничения прав доступа – роли пользователей; Организация процесса создания и внедрения доработок, управление изменениями; Сопровождение блока планирования и бюджетирования в 1с; Доработка типовых конфигураций 1С (УПП, ERP) Поддержка пользователей по вопросам, связанным с 1С Знание платформы 1С версий 8.3, конфигурации: УПП, ERP; Знание языка запросов и встроенного языка 1С; Способность быстро решать нестандартные задачи; Грамотная речь, коммуникабельность, вежливость, стрессоустойчивость; Опыт Администрирование доработки типовых конфигураций 1С; ВПО Оформление в соответствии с ТК РФ График работы 5/2 с 09.00 до 18.00 Интересная работа, предоставляющая возможность профессионального развития; заработная плата указана к выдаче на руки ",71200.0
Инженер-программист,Высшее техническое образование. Опыт от 1 года. Опыт в разработке сайтов. Опыт в разработке сайтов на Vue.js + Vuex.  Прием на работу по результатам тестового задания.,69600.0
Web-программист full stack,"Опыт работы с yii2 - не менее 3 лет. Опыт работы с React - не менее 2 лет. Адекватное общение с... Доработка ERP-системы, внесение правок по заданию заказчика, включиться в проект доработки работающей веб-платформы. Периодические созвоны с командой.",200000.0
Программист Python/JavaScript,"Знание Python/JavaScript. Способность к творческому решению поставленных задач. Желание изучать новые компьютерные технологии и методы разработки. Стаж, указанный выше... Участие в создании масштабного, интересного проекта. Вам придется спроектировать и написать с нуля большую часть системы, познакомившись со всеми этапами...",130000.0
"Программист С++/Qt, junior","Высшее образование (готовы также рассматривать студентов последних курсов). Хорошее знание С++ и ООП. Опыт работы с платформой Qt (можно на... Проектировать и разрабатывать программные системы цифровой обработки сигналов, а также развивать существующие решения. Участвовать в написании алгоритмов цифровой обработки сигналов. ",87000.0
Программист 1С,"   Требуется Программист 1С!    Обязанности:    Полноценная поддержка программы 1C.    Требования:      знания в области бухгалтерского и управленческого учета;   опыт программирования в конфигурациях систем 1 С версий 8.3;   опыт внедрения типовых и не типовых систем 1 С (Торговля 10., Комплексная, Бухгалтерия 2.0, 3.0, Документооборот, ЗУП);   опыт интеграции систем 1 С с помощью одного или нескольких инструментов: COM, Конвертация данных 2.0, Веб-сервисы, НТТР запросы (POST/GET);   опыт работы в маркировках и опыт написания не типовых обменов приветствуется      Условия:      работа в удаленном доступе  .     1С: Бухгалтерия 1С: Зарплата и управление персоналом Бухгалтерский учет 1C: Бухгалтерия",130000.0
Junior программист 1С/Стажер, ,30450.0
Программист / Разработчик .NET (C#),Высшее техническое образование. Знание языка C#. Знание платформы .NET. Знание ООП. Опыт работы с MS SQL Server. Опыт работы с... Командная разработка сложных программных продуктов. Ревизия исходного кода. Поддержка ранее созданных модулей и приложений. Изучение и внедрение новых технологий и...,150000.0
Продюсер телевизионных и радиопрограмм,"Знание законодательства о средствах массовой информации. Знание организации творческого процесса и технологию создания телевизионных и радиопрограмм. Желание работать.  Поиск тем, героев для информационных сюжетов. Взаимодействие с творческой и технической частью съемочной группы. Разработка графика съемок. Мониторинг новостных лент...",40000.0
Программист (junior),"Знание SQL, PL/SQL и средств оптимизации запросов. Знание PHP, Html, Css, JavaScript, Python. Умение разбираться в чужом коде и... Сопровождение и развитие информационных систем. Разработка нового функционала и сервисов. Создание и оптимизация запросов SQL (хранимых процедур, триггеров, функций, представлений). ",45000.0
Инженер-программист,"Знание типовых конфигураций ЕРП 2,5, ЗУП 8.3, Бухгалтерия 8.3 КОРП. Опыт работы с SQL. Опыт программирования и... Программирование и разработка на базе 1С предприятие 8.3. Консультирование пользователей.",120000.0
