text,sentiment
I dont like things getting confused. Seems to be happening alot lately,negative
Working at hop city. Gotta miss baseball,negative
 well just remember that tmrw is another day and hopefully won`t be as craptastic. sorry girrrrl,neutral
 they look nice atleast  haha. <3,positive
" `erocka the ruler` i called you, but i see i gets the no love   whats up with that?",negative
it`s Friday here in Chicago...and I`m stuck @ home AGH I`M BORED!!! grr!,negative
_assassin  sucks about your cat... hope you guys feel better,neutral
This is my anthem right now.... don`t leave me high and dry.  ? http://blip.fm/~79fcr,neutral
 that sucks.   did you save any of it?,negative
 Yep: http://bit.ly/15yyId  We go there for Christmas treats!,neutral
YAY jack won. but downer i`ve just remembered its friday meaning i have work tomorrow,positive
I need a coffee,neutral
Swollen face.....again,negative
omg himym! one of the best shows on earth,positive
 ooohhh imma need you to get on that asap love you,positive
Getting ready to launch the podcast of chapter 1 of 'Turning Left at Albuquerque' this morning. I know you`re excited - so am I!,positive
 bawkmarked,neutral
went to bestbuy today and found that they had pretty much ever HP except the one i wanted to look at,positive
"  I gave up cable in these tough economic times.  it was either cable or shoes, and you know what cable lost",positive
seen mi abueltia at the hospital... she`s doing good!,positive
 just one of those days where loneliness creeps up on you slaps you in the face.,negative
  Thanks for Following,positive
Doh! I was hoping to get a book for the missus but exclusive books are closed,neutral
Grass mowed. I can haz playtime now? No?  says we have errands to run,neutral
'I think you should know this. He`s going to break up with you. And I just had to tell you. I`m sorry. I know you love him.',negative
i wish it was summer,neutral
is soooo hungry right now! Why is it not lunch time!,negative
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive
 yeah I kno...I`m tryna change it bac but its not lettin meeee,neutral
" actually, i play keyboards for pohaku lol. we played a 12st bday earlier and now i`m spinning at the shack",neutral
mmmm chocky cake in the oven.. smells delicious,positive
"Home, getting ready to back to work on Monday.  Maternity leaves is up",neutral
" daddy wanted to buy me shoes, but they were prettie esspensive, so nao I haff to go bearfoot",neutral
 May be back later...hope you have a good day  Byeeee ****,positive
"george lopez, bed, mommys day tomorrow ;)  i wish house was on Hugh Laurie, is sexay. sometimes i like way older guys.",positive
"  not really, all in all, if im not mistaken, mga less than 1k each lng ang gastos namen...",neutral
 i`m watchign the garden from the window...far too hot for me,negative
About to take a shower. Then see how annas doing,neutral
" im not a supermodel, i still eat mcdonalds baby thats just me!  ****",neutral
In about 2 hours from now i will find out how good the STAR TREK Film from J.J. really is. A Ticket costs 9 Euro and i hope its worth it,positive
Wish I was @ wembley,positive
 Yep. Wasn`t that much to play with though. Just install and voilï¿½! It works  But you need a fast connection...,neutral
 awww. i wish i had a younger sis ): but i do have an older one!!! i bet your younger sis loves it JUST as much as u do!,negative
has just booked her appointment to give blood 18:20pm 2nd June! Scared,negative
 I tried both.  is unstoppable.,neutral
Good morning in Twitterville. Off to work I go...Chat @ all of u later,positive
 This was funny! I have 7.,positive
"Happy sunday, beautiful day in London... off to meet Chergo for breakfast  ****",positive
Geocaching.com seems to have a huge delay delivering Pocket Queries,negative
  Will certainly do that.,neutral
"  ive been trying to get over her for years, its so hard to move on, when youre so in love..it sucks",negative
"the free fillin` app on my ipod is fun, im addicted",positive
My last day with my favorite teacher.....im quite sad,negative
why does it randomly hangup on me?,neutral
"recovering from a hard day of homeschooling my dd, chemistry did NOT go well...",neutral
"  LOL --> don`t mention it, my pleasure!!",positive
 dont depress me  I have the mother-in-law staying the weekend. Someone else to wait on other than the kids!,negative
"wow this morning 8.15 hrs ding dong breakfastservice, was a surprise of Marjoleine, Guido and Dirk for mothersday.Mother hapy, father too",positive
At Piece now  Possibly Beachwood in a bit,neutral
 phil! I miss you gracin ya with your presence I haven`t been on much  what`s new?,negative
" Oh, that`s bad. I made that mistake once before but still managed to pass though. So maybe it isn`t as bad as he thinks?",negative
 you traitor  whiskey and coke is my aphrodisiac,neutral
"Is Watching Britains Got Talent, & Is biting her nails. Please don`t come off black nail varnish",neutral
 It`s pretty perfect eh! Yes We Cannabis!  I saw some of those signs at the Global Marijuana March too.,positive
 & I got too much work to do,neutral
having another only fools and horses marathon day,neutral
_Da_Realest hehe hell. I`m finna qet to drankin DAMNIT.,negative
"Sad that Gmail chat has died, so I can`t help ",negative
 Happy frickin` birthday!  Try not to be too bitter about sharing your day with your lovely wife and all other mothers out there.,positive
Scotts the only guy for me   Good night<3,positive
 voting is over. since like four days ago i think  i told all my friends 2 vote for you a million times. you will win! love you,positive
Relaxing with my daughter watching Friends,positive
My saying now  http://bctiny.com/po4me,neutral
" HAHAHAHAHAHHAAAA god Randy, I miss you!  hope you`re having a great time buddy! catch a wave for me",neutral
 i`m doing awesome! Rachel N had a bday party today  it was fun. Btw have you seen  Sam`s prom pix? They`re GORGEOUS!,positive
I love my puppy,positive
 Hah!  Sparkly ones at that.,neutral
92.7 is turning it right about now.,neutral
_McFlyy FINALY MY CHANCE HAS CAME. . TO KILL YOU MWAHAHA! ha. not cool. .  ha  ****,neutral
Def wants to cuddle it out maybe play but has no one to do it with the bc is far away,negative
Can`t sleep and nothings on tv!!,negative
mayb he was raped when he was younger,neutral
" : Yes, that`s what I was implying. Was a bit too subtle, as usual, I suppose.",neutral
i told myself i wasn`t gonna cry and then one kid that everyone made fun of all year said 'it`s been a good year',neutral
" eh, you`re a really nice girl   How are you? miss youuuuuuu",neutral
heading off to schoool. going to have a good day. i just knoww...,positive
Jus sittn here thinkin....wow yo my boy is really gone! Smh yo! Its bout to be 3 weeks on Sunday!  R.I.P VON,negative
Workin.,neutral
"I`m needing a girls night, wearing sweats, watching movies, eating chocolate and talking about boys",neutral
I am sitting at work watching the clock.  It isn`t moving fast enough.,negative
   hi holly  i`ll volunteer to try it out first for u! hope ur having a fab weekend xoxox...,positive
 No but this is our poor week,negative
About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?,neutral
this week of mine was not easy!  but finally it`s over! (:,negative
 OMG are u still naked 1313 XDD omg i miss you so muuch,negative
Has a bad headache,negative
Ugh... Waiting.... Interminable...,negative
" dude, I can safely say I was blown away when I heard Attics. I`ll make sure I pass it on as much as I can!",positive
third driving lesson then back to the office,neutral
probably one of the best surprises ever...you really are amazing,positive
Rawr and whatnot. I am having a godawful drawing night tonight... even less progress has been made than I expected.,negative
_LeAnn if it makes you feel better im studying on a sat night w/o blackberries,positive
my mom watched my new video and she actually LOL  Love her! xoxo http://bit.ly/16w6zV,positive
supposed to be great weather today & 2moro; just my luck Im stuck in work 1-10 both days!,neutral
"() UGH, i love tila. haters need to shut up",neutral
 Glad you are happy!,positive
Sleepy time..   happy mothers day all u momz,positive
symphonic I,neutral
"Going on 1,116 days still no new tattoo.",neutral
 .. IN SWEATERS,neutral
You should retweet others good tweets at least 10 a day to get involved into things at twitter,positive
Happy Friday. Just pulled some yummy radishes out of the garden. Hope the strawberries turn out. Still no blooms.,neutral
 : yes she got all lovey with him&he returned the love&1thing led2 another&  also  wants2 know y ur mad at her,neutral
"I had a new work picture taken today, hated it, it looks too much like me http://bit.ly/PHjUR",negative
" i miss you too; i need to talk to you, i keep screwing up ..  lovee u !",positive
i lost mx way,negative
" Hey Dave, whasup?",neutral
 I wish I was getting pancakes  booooooooo,positive
in a meeting discussion colour of bikeshed,neutral
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative
" dude, saw your Twitter profile after a long time - love the background. way way cool!",positive
"ok, back to the dentist today. All I want to do is bask in the sun",positive
 I was thinking the swine markets are in decline. But since we can`t say that anymore...,negative
" oh dear, thats not good - I hope you get through it all with a smile",neutral
_Forward Poor dead Josh.  http://bit.ly/JKpHn Please leave your messages of condolences there. #boy #rip ||| That`s sad.,negative
" no worries, good news are good to spread",positive
just finished baking some cinnamon rolls   soooo yummy!,positive
" I usually do if there is choice, but I am lucky in that most foods I love are generally very healthy (except ice cream!!).",positive
"_l unfortunately not.my work ties me down 4 the whole summer.but if there`s a eu-tour this fall,I`ll be there!  I want a rebound",neutral
 lol takes some getting use to  Just replying to your email. Power keeps cutting out here :S,neutral
" Patience, it`s worth it",positive
ah remember the days when you`d sleep in until noon? well guess who did that today? god i feel like a loser,negative
Sooo.....I`m kind of sick n tired of the bs that guys dish out  !!!!!!!!,negative
 yep im very jelous too  id love to be in miley position haha x,neutral
Okay.. so someone has my keys or they are -really- good at this 'hide from James' game.,neutral
" I know you won`t keep a wild dog, or else you won`t be able in the situation to use Mandriva in your life.",neutral
 Were getting old Donny. I got one starting high school next yr and one going into the 7th. Where have the years gone?!,neutral
 You`re not singing in the rain?,neutral
He he ...Happy #star wars day! May the 4th be with you  Brilliant!!,positive
Good morning! I`m just woke up it`s Mother`s Day,positive
Laying in bed texting. Good night ya`ll,positive
Watching Ace of Cakes,neutral
" babe  ive been aight, urselff?",neutral
 so you are like the rest of us on this miserable bank holiday.then LOL,negative
Cuba trip booked,neutral
 because the one I was having at that moment woke me up.,neutral
trying to win tickets! com`on dc101...,neutral
" I`m a jerk...  now I can`t go out    Dammit Frank, why do I suck so bad?",negative
14 dayssss ahhhh super excited   `they`re telling me that my heart wont beat again`   JLS were awesome yesterday (:,positive
You can`t take this feeling away from me<3. going to lay down & watch a movie.,positive
 Your missing qualifying  I think David Reutimann is leading with a 22.96 ....,negative
 what happened to my real-time feed? Now friend feed is just like the Twitter website,neutral
@_Esme_Cullen_  I`m taking a million songs from your blip.fm station thing. Sorry,negative
Following _aisa These guys could be shifty but worth following regardless.,positive
"THIS TWITTER **** KAN EAT THE GUN NOW ....AN I DON`T EVEN BE GOIN IN SMFH, OVER REACTIN 4 NOTHIN, I NEED 2 STAY STRONG",neutral
Environmental project,neutral
Lunch sucked ran out of time  didn`t get anything done,negative
why are plane tickets so expensive,negative
wishes a Happy Mother`s Day to all mothers! Especially her own.  http://plurk.com/p/svg9d,positive
 Bye ! Have a great time being whisked away,positive
 aw man im sorry! I have logical reasoning I promise! I had to study in order to tutor my new student! 4give me,negative
 I feel you I have a third eye right now and right before I go see foreign boys,neutral
" And most of us are going to be stuck in an office, some without windows",negative
I`m way to hungry to even think. I can`t go to work on an empty stomach like this,neutral
 I`m jealous - I would love deer steak. One of the downsides of having an almost vegetarian and a carnivore living together,neutral
  I don`t have a subject line on my phone...  just normal texts.,neutral
looking forward to seeing the relatives... maybe home from Toronto soon,neutral
Enjoyed see`n everyone last night! even tho it was a really bad night financially... Cant wait to kick it again @ the drive -ins!,neutral
_EaredPages Yay!  I can`t wait to come in the bookstore and gets some new books,positive
Another Qi about to start....I`ll be missing the next 4,negative
http://www.speedtest.net/result/483892161.png i get good download speed only when no one else is using the connection,positive
" I didnt mind the movie myself, may be because Im not that big a fangirl myself",neutral
Off to bed. Only one more day left at school before i get to go on holidays. Yay!! Finally. I am getting sick of school... LOL!,neutral
feeling like in 16 again - watching TWILIGHT & enjoying it,positive
"coraline was scary yesterday, didn`t puke luckily.  ahaa. 1 week & 1 day till i`m 14 baby",neutral
 Thanks for sympathy. It wasn`t too bad until about an hour ago when I started thinking of the appointment tomorrow.,positive
_Gable It`s good isn`****! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,positive
says BAD TRIP! (angry)  http://plurk.com/p/wxshi,negative
 LOL well i`m qlad u enjoyed yur ramen noodles.. i had fried chicken  ..im tired now,neutral
 Sounds Fun!,positive
" okay, thanks!",positive
" I don`t know, I noticed that happens to me sometimes too.",neutral
So booooored  I learned this though! ????????,negative
Missing my mother... t-11 days! HAPPY MOTHER`S DAY!!,positive
The Good: I drank Jager and licked a hot asian girl`s foot. The Bad: I was reminded once again that I will never get asian girls ever.,neutral
i have no idea wtf im doing,negative
 Thanks PP!,positive
Happy Mother`s Day to all the mamas out there,positive
Off to bed!! Still exhausted from Vegas,negative
 Bro. Martin!! I need you to repent!! Pam said we were going to get to meet you last wknd...,negative
  I do the same thing to anybody covering dave... haha... we don`t like people messing with perfect music.,negative
 dude what is your sn nowadays because i think i lost yours,neutral
" C`mon, we`re talking about philos-ophy - the love of wisdom.   I need a 'mat' - a context to intersubjectively 'ground' it.",neutral
_yst so u are very burnt  sorry back or front burnt?,negative
N now the end to another wise great nite! Excuse me while I dream a little dream,positive
Charley horses in both legs all night. What the ****?,negative
 Aw what about me,neutral
up and at work im ina good mood,positive
"the good thing of having a fever is feeling cold, especially in such hot weather. I think I`m hallucinating lol  .",neutral
_violence heyyyy babyy,negative
is going home after an awesome time with the peeps,positive
i just found a crack in my baking bowl...milk spilled everywhere,negative
Had so much fun with jï¿½ and family  Happy bday my beautiful aunt! s2,positive
 (duh typo error) part 2: social networking??.. there isn`t even room for people,negative
 dont get too excited bby i hear thunder rolling in,negative
 hey ive seen the musical live its funny lol,positive
  I was watching Parental Control,neutral
 twitter tends to do that to us,neutral
"man, i ain`t been without V`s presence in a minute...i feel like a lil kid with no momma",neutral
 ze Franz has not friended me  i think they think i`m a creepy stalker or sommat. Hmph.,negative
Tonight`s SNL does not dissapoint. LOL,negative
I really need to invest in an elliptical machine... Running with shin splints sucks!!,negative
 I`ll be thinking about how many goals United are going to knock past City. How `bout you?,neutral
 aww you poor thing  hope all goes well!,negative
_PrintChick exactly! Thats the first time i saw his @ reply to Jon. Never going there again. Oh have fun with d new phone.,positive
Ahh I`m so confused  what can I do? I don`t wanna run away but can I really handle a real relationship? What is love anyways.. False hope!,negative
I dont feel well  i got a dentist appointment later.,negative
 haha i am aware of how one contracts a UTI.  and i have training for work at 8:45 tomorrow morning so i have to go to bed early,neutral
Nothing like getting to work and finding out you have to cover extra shifts this week... looks like another 40 hr work week.,negative
"Tomorrowland central hasn`t gotten confirmation that I`m signed off on Star Tours, so just waiting to see if they can give me a shift.",neutral
" Hii,I freaking love you  I would be the happiest 13 year old girl alive if you replied to this.",positive
 yeah  it will get better though  i know it!,neutral
" Youtube. ) Really awesome quality, actually.",positive
" Hey JK...Wish Evenlyn a Happy Mothers Day tomora for me..I had a Great Day, my gift will be tickets to see ya`s ere in Oz",positive
 Can`t  No money to spend.,neutral
"For some reason, Corona Light tastes so much better when I am with you than it does when I am alone.   http://twitpic.com/67wa0",positive
off to pearlyn`s place - gran`s bday + mothers` day dinner tonight!  mom went for adults` svc today!!!  (L) happy mothers` day moms!,positive
 sayid could be dead.,negative
_D_ happy birthday,positive
"_DJ Xmas a week early? Hehe, at least you didn`t have to do any last min shopping",neutral
In bed. A cuppa. Tv on... All this while husband is cooking... Life is sweet...,positive
I can`t believe how fast this week has gone by,neutral
 oo ok. When I opened up twitterfon and it said I had a reply I was like lauren Conrad andswere me  haha,neutral
In the university with hungry!!,neutral
Is responding to an email.,neutral
made $30 tonight watching 2 little kids swim and watch a movie!!! haha i love babysitting haha,positive
"is eating lunch at Sushi Tei, Sency yum! met Ghina earlier",neutral
hehe tweet time... bastos talaga chux,neutral
" AWWWE! I live in Van, would`ve been so great to see you  but have a great flight!",positive
"  I care about Eurovision! And yes, they have a 50% jury-based vote this year  #eurovision2009",positive
"But now talking about today, Oh my GODNESS! Problems, problems, problems. about love, money, math, parents.....that`s enough, isn`****?",negative
is it normal for a masseusse to fully massage your buttocks? I swear she was a quarter inch from a medical exam..,neutral
waaah.. I can`t open my eyes wider! i wanna go back to sleep but i can`t sleep properly..,negative
 they prob are sold out.    all i wanted was to see them for my bday lol,neutral
 awwww this made me realize I have to take down my bulletin board too!  There`s so many memories up there.,positive
yeah me too.,neutral
bad mood now,negative
" dont be gloomy...go out and get urself ice-cream.or gin,whichever",positive
words to live by  ? http://blip.fm/~5z3ij,neutral
 ur welcome...anytime,positive
_west and by music I meant awesome Christian artists.,positive
"I left a chocolate egg sitting in my office, and now it`s calling my name......................",neutral
" Wow, really? I didn`t know it was that serious.  Well that sucks. Texas must have been chock full of asbestos.",negative
6 freakin days!!  Just a thought...what would I have to look forward to after this?,negative
  sounds like a challenge then  I can see it would be useful to be able explicitly  schedule threads...,positive
_com Ohhh got it. It`s the 8830 I think  I miss the Pistons  I really hope Joe D cooks up something big!,neutral
 i wanted to go for my birthday...,positive
Ugh. Waiting for a visitors pass to get on post.  taking FOREVER!,negative
"imissu, come back home now honey",negative
Just took my IC photo!looks good  - http://tweet.sg,positive
"  We are of like minds this evening , my dear!",neutral
"just woke up, hopefully going to see the Xmen film today?",neutral
 hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that,positive
listening to the online radio; oldies,neutral
 think you should catch up on your sleep befor you go back to uni haha  goodnight<3,positive
about to go to acting school  yayay,positive
 my boss. She`s moving to NYC,neutral
Why must Jay Leno leave his own show,neutral
Dad and Mum are heading that way and I normally jump in the middle and thash about a bit while having cat chasing dreams,neutral
_cowan oh cool!  I`m gonna crash and sleep. I have been like 40 some hours working lol,neutral
Time for me to go to sleep! It`s almost 1am. Night everyone! Happy mothers day to all the moms out there,positive
" yeah the freedom is awesome, it`s great being a little more independent",positive
 I have a friend who loves that spot. I want to go,positive
getting ready for the dayyyyyyyyyyyy. i hope work goes good!,positive
"Josette....where are you??   I looked across the pond, but you are nowhere to be found.",neutral
 guessing... Ran 4 miles & gym? Superman you  oxox,positive
 yea yea  im about to torture myself by doing a stanky leg marathon..ima do the dance for hrs til I can`t no mo,negative
 ugh. it sounds like a busted cable box then  what time zone are you in?,negative
" lol liking your style Alice tell him you`ve got standards to maintain lol, it`s national Cork girls go wild in london week",positive
_Butler I think/hope they might put an age limit on next year on the back of that  #bgt,positive
I`m wondering how big the rumored new `large screen` Kindle will be - http://is.gd/wyFI -and when we can start seeing K12 textbooks on it,neutral
"A laodicean life for Kavya & family probably got Kavya her spelling bee crown! Congrats! Note, spell check doesnt recognize laodicean",neutral
In 1 horse town + 2 blown out car speakers =,neutral
_BeachMex Can`t DM you since you don`t follow me.,neutral
just found out my friend`s dad passed away yesterday,negative
wishing my days off were the same days that people wanted to party.,neutral
work work work!,neutral
Has been rejected,negative
 I`ma need you to follow me real quick cause I can`t DM you,neutral
what am i gonna do when my iphone is full!,neutral
http://twitpic.com/54khn - I am very sad. They cut down my Pink Tree. I noticed it when I left today to get Betos,negative
Planning to run riot in Luton today! BA HAA!  Not reeeally  where`s the library in this (****) town though?,neutral
" Sus Ate, I was so upset, I wasn`t informed AT ALL. Turns out, they told Sarms and they expected her to tell me. Huff.",negative
Really? 87 degrees as the high and I`m on my way to work?!?  hagg lake tomorrow is going to be especially bomb sauce!!,negative
i lost my voice . what should i do ? it`s very torture,negative
" Yes, its a common thing. Don`t you remember? I promised you and Nic i wouldn`t stress online  Clearly not kept",neutral
" I love my mom, she`s the best mom on the planet",positive
"Hey Oprah just watched the show with Hugh Jackman, I love him too, he is so sexy",positive
 LOL. me too..werd...:p...hubby`s fave driver is Martin so I am happy for him and me!!!,positive
" Yup, 1987 lol. SWEET YEAR  haha",positive
 I really don`t want to send it over this site....it`s kinds private...,neutral
 ...thanks for the shout out...you might be right about the starving thing....     little lol,positive
"slightly burnt challah  The proof is in the eatin`, though...",negative
"Now Im in the work  , I miss my home, any news?",negative
The book bloggers panel is not listed anywhere in the program!   Be there tomorrow at 2pm in room 1E15.  #BEA09,neutral
people are not twitting very much today,neutral
Really disappointed I can`t make it to bloomington for  launch party tonight  if you`re around you should check it out,negative
"300 updates  actually 13,527  lol",neutral
i feel so bad when the kid is sick,negative
 - I shall post a notice in town so us Cork ladies know to watch out!! lol  You had fun then?? Sevens were the business !! ;),neutral
CAKE is sold out at terminal 5,neutral
It`s a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,negative
 welcome aboard my friend... the fans are gonna LOVE ya here,positive
Cough drops taste gross...blaaaqhhh,negative
 You don`t reply to none of your fans ... I don`t know what trust,negative
is hungryyyyyyy!! going to eat traditional indian food...the pakistani way. woowoo!  hahaha! >[_()\/3,positive
" Wow, your spam really has everything covered! Mine`s almost all **** enlargement stuff.",negative
 i want her more on Survivor!!,neutral
 LMAO...but you`ll still have me! I am thoroughly enjoying our conversation,positive
 ha you`ll do fine! just be positive!  &aha i know huh. wht a long conversation. i remeber you and allyson did even lnger ones! x],positive
Arghhh So annoyed-yet again gone 2 starbucks & given skimmed milk instead of soy milk!! I can`t have milk so hav 2 throw away! Expensive,negative
Ughh. That Miley creature song has infested itself in my brain!,negative
 my dad just bought me both of these  they`re tricky language tho,neutral
 hay naku!!madaya ka talaga ah hehe ..hey happy mothers day to your mom nga pala   and to your mom also,positive
"While  on vacation,  having golden times spamming Google by 5.350 redirects. http://bit.ly/18kwzh",positive
() 1-Pendulum = awesome! 2-Goodbyes suck  3-Shut up plz. 4-Toy Story 3!!  5-JB 3D MOVIE 2MORO! 6-I`m tired. 7-Aaaand I`m out.,neutral
"   Sorry, we`ll try to keep it down.",negative
has got a degree in BS.,positive
I give in to easily,negative
" Good Evening Terri! Have missed you lately, hope life is being good to you. Have a wonderful evening !",neutral
what am l doing?? .....nothing much atm,neutral
HAPPY MOTHER`S DAY LADIES!!! Hope you all have a wonderful day.,positive
oh what a night love me some aces,positive
is about to go into her last final.  happiness!,positive
favorite shirt ruined:death by bleach  #fb,negative
Oh no! Poor bears  i just had a nightmare i wrestled a huge snake and won,neutral
Finally eating unagi I`ve been saving up for a while! +udon :] AGH I just realized the band playing at Bear Garden today is one I like!,positive
"Oh, had like the most amazing weekend, sunshine & partï¿½ï¿½, white wine!! Now its back to the rehearsals regime!! NICE !!!",positive
I love being in charge,positive
"Yeah, I think we`ve earned it!",neutral
is freaking exhausted...need to go to bed....gotta get up early YUCK....HAPPY MOTHER`S DAY TO ALL YOU MOMMIES OUT THERE,neutral
" You might have too. One of them accused you guys to being 'One Sided' on the issue. They`re getting way, way out of hand.",negative
Hey had some fun with friends !!!!!Now cleaning,positive
Ada acara menarik lain: Keys to the VIP di channel V. Ttg straight yg dikasih tasks to approach strangers in the crowd.. Hmm,neutral
Haha Happy Star Wars Day!  'May the 4th be with you' - clever,positive
haiszt.. im here in the office doing nothing but tweet haha! fun!,positive
_E Aw. well im sorry you don`t like July for those reasons,negative
Going off BC is making me break out.,negative
  thanks bebeisis that is right is your name by any chanve elisabeth???,positive
"_fred6 Awww... :/ I guess that`s both good and bad, moving is not an option I guess?  Mhm, so are you, hehe ;) (we have same time?)",neutral
Im sad right now becuz of my lady,negative
 I need them  It would`ve made my picture so much cooler. Mine are bottle green. Eeyea-thooo!,positive
still having a hangover,neutral
"Is playing bubblewrap on her iPhone. Over and over and over again. Still, beats working...",neutral
" I`d help you if I weren`t poorer than you lol! I`m mexican living in .mx, which automatically makes me 13 times poorer",negative
I`d like to thank my normally only randomly working internet for actually staying up from the moment I saw the tweet until now.,positive
never expected to hear Beastie Boys in a Star Trek movie... was a super great flick though. *pew peww* -- (phasers),positive
 playing man utd.kick off 19:45.champions league 2nd leg.lol,neutral
"  I`m not even in your situation and now I`m sad. I`m sorry, that`s really sucky.",negative
"going out with my tita gi, sister and my beloved lola! Were going to treat her for dinner! Wohoo... So excited and hungry...",positive
is going out in the rain,neutral
Summer is really ending. It`s raining.,neutral
" As opposed to twitter, where all we can do is talk to people.  SL is fun. I already have way too many ways to distract myself.",positive
I hate going to work on nights that I`m in micro.   At least I get to work with !,negative
It`s about to rain!!,neutral
playing machines in actinggg,neutral
I already miss my Mohawk.,negative
 lol y??? .. trashed the kitchen ?,negative
 Nope probably revision  Hbu? x,neutral
my birthday is in 2 days,neutral
 Exactly!,neutral
This is a much better tool than some I have come across http://www.tweepular.com - Twitter Karma on Steroids,positive
And I wanted us to leave at 12:45 to do a 1 p.m. showing (staff retreat mini),neutral
just found two very moldy and squishy reasons why non cracker based foods aren`t allowed in the play room. When mom`s away...,neutral
im @ the eye doctors & had to bring trinity with me cause my mom fell down the stairs today & broke her toe. ugh,negative
"also, Lipton`s Sparkling Green Tea is gross",neutral
 I KNOW I`m so excited for them!,positive
"wow! ever notice that some twitters have thousands of followers, yet they only follow a handful (actually, less than two hands) of peeps.",neutral
one more final,neutral
 Did they already get the tax money from Helio for his winning of the pole position! Ha ha!!,neutral
 Heh... I send dem when I get dem Jen... I was shocked I found so many these last few days... earlier in the week nothing...,negative
"bah, i h8 waking up",negative
 That happened to me once... only I wasn`t drunk. lol,neutral
_AnGeL84 Awww i hope you feel better love...this weather is crazy...,neutral
 You seem Cool,positive
LUCY IS HATING ON MY GWEG!,negative
"goodnight and good bye to all of you, hope you have the best of dreams",positive
Got insurance forms for Polo. Feel a bit  Has to be done though.,neutral
 what happened to all your sexy quotes?,neutral
Rachel and chelsey left me and jenny stole my bike.  that makes me muy triste!,negative
back from the city... breakfast time,neutral
_ thats coz we love you,positive
 I miss you...  come over and say bye before I leave!!,negative
Updating to the latest version of Adium now. What a great app!,positive
 not an easy place for me to access   Task-based ux is something I`ve been thinking about. I`d like to hear the criticisms.,neutral
http://twitpic.com/4wk9i - I should really try a different pose some time.,neutral
well im gonna go shower now. gotta get rdy 4 movies in a couple hours!   byeee   ~~  Esther <3    p.s.s i miss u katherine,neutral
"AC is broke at the house. waiting to get an estimate on timeframe to repair. on the bright side, gonna join CoLab this week.",neutral
 i thought you would win!  Fabulously40 have some bots on her side?,negative
Ustream replay for Control Your Rankings.  http://www.controlyourrankings.com/launch1/ustream.html,neutral
i`ve just open this thing,neutral
My attempts at writing tonight seem to be failing.,negative
Coming to the end of my vacation.,neutral
_01Xx   dont leave us !!! whats up ? ****,neutral
" One of my good friends in the states has it covered now, but thank you again!",positive
_ho Yay you can eat proper food now!,positive
" I need to check your TOS, Loic. Are you allowed to sleep? I don`t remember any mention of sleep there...",neutral
"In the UK with no phone service  oh yea and still sick (cough, sniff)",negative
watching some scary movies with my friend,neutral
 rofl rofl. Have fun,positive
 really??,neutral
Went to get my car inspection sticker got gigantic red R one. Just keep piling it on. I can take it. Don`t worry about me. I`ll be ok.,positive
 It`s because we`re right,neutral
 I like them. I mean I like what`s left of them.,positive
Meeting up with Karen and the boys for some drinks at The Dock!!!  All I wanna do is drink though..    **** it like Andrea said! Haha,negative
"Dana just found out she doesn`t get to take lunch now, but rather in an hour. Hello delivery.  http://plurk.com/p/x29ss",neutral
putting up a half naked dougie poster  i love sugar`s ladmag,positive
 ****. I always forget you are on here,negative
 haiiii sankQ i`m fineee ima js get a checkup cos my rib hurts LOL idk but i shall be fine ~ thanks,neutral
 ur funny  gnight,positive
Is there a way to block followers?  I have no idea who you are. .  Sorry..,negative
found out my 'friend' isnt actually. but hey **** happens.,negative
" OMG!! Hahaha! I thought you were joking about Twittering that, hahaha!! Awesome, good times were had by all",positive
just got my first lesson in when rain meets my white  shirt   if one more man tells me they like my bra on more time! smh,neutral
 why isnt everyone with you?,neutral
is up with a nasty cough i cant be sick i have a huge weekend ahead of me,negative
Saturday Night Live in 3 minutes  Jimmy should still be on it.,neutral
  got my grubby paws on a live recording of paramore. you have to hear. its better than chocolate,positive
  no way! **** that sucks B!  are you ok?,negative
is off to somewhere.,neutral
 very familiar.....sorry you`re feeling that way,negative
"I want to go to VP, but no one is willing to come with me.",neutral
shut up.,negative
 good day sir. I`m hungry!,positive
_Thompson u may need this pill...i think u are crazy...here take on of mine,negative
" I have heard that about a lot of programs like that, we go to a large chain of learning centers, sorry for you!",negative
Thinking I`m super excited about this week!,positive
Last free Friday.,negative
 I think i would die if they played Pushit. I missed them when they came last time. When Isis toured with them,negative
Trying to recover photos after a problem between Windows and my XD card. Result: shots are all half visible  **** Microsoft...,negative
 no deal I want it as well as my netbook and iPhone please,neutral
_princess69 hehehe! Barry Killer! U need a pic,neutral
time to lie in bed and watch tv,neutral
"Photo: thelovelybones: I SPY JONAS BROTHERS AND DEMI LOVATO OMG D: Ahhh yea, 3d movie premire  http://tumblr.com/xbb1qyx0e",neutral
14 more days with slow internet,negative
  Aww bless hope the phones okayy  x x,positive
morning! just got my coffee,neutral
"_jean Now that I think about it, when I get to the States, they`ll probably still be touring, so they won`t be there  Dammit!",negative
